username,total_stars,avg_stars_per_repo,max_repo_stars,total_forks,avg_forks_per_repo,max_repo_forks,active_repos,total_repositories_found,active_repo_ratio
kei95,47,0.47,17,11,0.11,2,5,100,0.05
fsquillace,2590,39.24242424242424,2220,162,2.4545454545454546,115,3,66,0.045454545454545456
awesomepeng,62,0.9253731343283582,21,6,0.08955223880597014,4,0,67,0.0
Teddy-van-Jerry,416,5.073170731707317,67,60,0.7317073170731707,16,11,82,0.13414634146341464
slon,480,14.117647058823529,471,146,4.294117647058823,139,2,34,0.058823529411764705
gcsrilanka,89,3.0689655172413794,19,753,25.96551724137931,293,1,29,0.034482758620689655
javamonn,118,1.5324675324675325,62,37,0.4805194805194805,21,1,77,0.012987012987012988
lingxitong,768,9.846153846153847,344,55,0.7051282051282052,28,41,78,0.5256410256410257
oumatoulacen,4,0.04938271604938271,2,0,0.0,0,15,81,0.18518518518518517
pzduniak,111,2.5813953488372094,52,18,0.4186046511627907,5,1,43,0.023255813953488372
Mhmdmnsouri,27,0.6428571428571429,6,3,0.07142857142857142,1,6,42,0.14285714285714285
topopt,317,45.285714285714285,256,105,15.0,82,6,7,0.8571428571428571
Niaz-estefaie,19,0.9047619047619048,7,1,0.047619047619047616,1,0,21,0.0
ips610,21,0.6,4,4,0.11428571428571428,1,3,35,0.08571428571428572
Jinsoo1004,6,0.75,5,1,0.125,1,2,8,0.25
jasmainak,19,0.2345679012345679,5,18,0.2222222222222222,9,1,81,0.012345679012345678
mracipayam,4,0.04,2,0,0.0,0,0,100,0.0
thiagolvlsantos,19,1.0,6,2,0.10526315789473684,1,0,19,0.0
Ashukla011,54,0.8852459016393442,5,2,0.03278688524590164,2,12,61,0.19672131147540983
IntelligentRoboticsLabs,371,4.580246913580247,91,155,1.9135802469135803,32,17,81,0.20987654320987653
mikhael28,42,1.5555555555555556,34,49,1.8148148148148149,45,11,27,0.4074074074074074
nihat417,33,0.33,7,8,0.08,5,0,100,0.0
cathywife,11,0.11,5,9,0.09,1,0,100,0.0
sounny,3,0.03,1,9,0.09,2,11,100,0.11
GhazaleZe,84,3.111111111111111,7,13,0.48148148148148145,2,2,27,0.07407407407407407
imclint21,44,0.4583333333333333,10,20,0.20833333333333334,5,4,96,0.041666666666666664
Neo-Hao,260,5.531914893617022,150,106,2.25531914893617,59,3,47,0.06382978723404255
fadeevab,1594,106.26666666666667,1056,173,11.533333333333333,93,9,15,0.6
rozgo,11,0.11,1,12,0.12,4,4,100,0.04
GeekZooStudio,2517,279.6666666666667,978,1785,198.33333333333334,520,7,9,0.7777777777777778
khloudcode,64,1.6,11,2,0.05,1,34,40,0.85
microprediction,362,3.62,151,103,1.03,22,10,100,0.1
qarmin,33323,370.25555555555553,31435,1214,13.488888888888889,1075,27,90,0.3
videlalvaro,2827,28.27,1873,306,3.06,98,15,100,0.15
IAmRyota,0,0.0,0,0,0.0,0,0,0,0.0
defcc,32,1.7777777777777777,29,3,0.16666666666666666,3,0,18,0.0
blasten,7719,128.65,7468,2670,44.5,2552,5,60,0.08333333333333333
zhouguangming,0,0.0,0,0,0.0,0,0,3,0.0
piacoin,4,0.5,3,0,0.0,0,0,8,0.0
syoyo,223,2.23,33,39,0.39,7,5,100,0.05
NyaMisty,2685,26.85,1198,1899,18.99,1514,32,100,0.32
Notsfsssf,14510,273.77358490566036,11858,615,11.60377358490566,432,6,53,0.11320754716981132
Siris4,4,0.04,1,0,0.0,0,0,100,0.0
University-of-South-Florida,0,0.0,0,0,0.0,0,0,0,0.0
mozilla-firefox,12332,1233.2,12316,1235,123.5,1223,6,10,0.6
IT-varsity-Materials,386,96.5,123,274,68.5,89,4,4,1.0
waditu,20729,2072.9,15118,6108,610.8,4437,6,10,0.6
nathadriele,183,3.519230769230769,22,13,0.25,5,43,52,0.8269230769230769
Gurupreet,7795,324.7916666666667,6836,974,40.583333333333336,853,4,24,0.16666666666666666
tpruvot,3415,34.15,1659,1590,15.9,736,3,100,0.03
eviltester,613,6.13,120,415,4.15,115,31,100,0.31
essentialdevelopercom,1071,178.5,493,729,121.5,493,5,6,0.8333333333333334
ninghao,235,2.35,47,112,1.12,24,1,100,0.01
bxcodec,12837,313.0975609756098,10113,1614,39.36585365853659,1306,10,41,0.24390243902439024
Friedrich482,154,6.416666666666667,30,18,0.75,3,7,24,0.2916666666666667
Ralim,8864,103.06976744186046,8231,970,11.279069767441861,815,20,86,0.23255813953488372
davidmarkclements,4943,49.43,3546,228,2.28,115,6,100,0.06
slowy07,165,1.65,54,16,0.16,3,5,100,0.05
bobangajicsm,1146,39.51724137931034,658,1278,44.06896551724138,787,8,29,0.27586206896551724
jamonholmgren,557,5.57,308,42,0.42,14,10,100,0.1
ACyphus,19,0.40425531914893614,9,8,0.1702127659574468,2,3,47,0.06382978723404255
madhums,7424,78.97872340425532,5099,1918,20.404255319148938,1348,8,94,0.0851063829787234
nrennie,1396,13.96,154,219,2.19,56,40,100,0.4
sony,12459,124.59,3621,1585,15.85,335,72,100,0.72
misterblack1,672,18.16216216216216,89,97,2.6216216216216215,14,21,37,0.5675675675675675
jmechner,6816,6816.0,6816,737,737.0,737,1,1,1.0
Dornamohtaram,30,5.0,8,1,0.16666666666666666,1,5,6,0.8333333333333334
xyflow,41696,1667.84,37024,3617,144.68,2433,15,25,0.6
marcotcr,15547,471.1212121212121,12143,2363,71.60606060606061,1849,6,33,0.18181818181818182
Zproger,1151,127.88888888888889,732,188,20.88888888888889,106,6,9,0.6666666666666666
wgh136,8743,301.48275862068965,8640,1136,39.172413793103445,1059,5,29,0.1724137931034483
tavisrudd,152,4.222222222222222,70,27,0.75,7,6,36,0.16666666666666666
qntm,5407,168.96875,2198,240,7.5,60,29,32,0.90625
knowbody,1164,11.64,377,118,1.18,26,5,100,0.05
keyu-tian,1542,18.357142857142858,1369,121,1.4404761904761905,84,4,84,0.047619047619047616
ledell,596,10.456140350877194,399,274,4.807017543859649,202,6,57,0.10526315789473684
softchris,119,1.19,15,74,0.74,13,12,100,0.12
JamesHenry,172,2.819672131147541,85,49,0.8032786885245902,13,1,61,0.01639344262295082
Jezzamonn,2817,28.17,2693,256,2.56,237,7,100,0.07
PatrykIA,79,3.95,18,22,1.1,4,5,20,0.25
yifengyou,576,5.76,241,175,1.75,40,20,100,0.2
johnsonjh,577,5.77,119,50,0.5,12,29,100,0.29
sam-astro,1934,60.4375,918,213,6.65625,101,15,32,0.46875
rebeloper,305,3.05,82,88,0.88,14,7,100,0.07
skiff-org,1800,105.88235294117646,976,841,49.470588235294116,382,8,17,0.47058823529411764
stulzq,3511,35.11,1345,889,8.89,225,10,100,0.1
andresriancho,7624,76.24,4875,1824,18.24,1239,12,100,0.12
liancheng,1218,13.533333333333333,520,285,3.1666666666666665,115,9,90,0.1
abrehan2,36,0.4931506849315068,4,5,0.0684931506849315,1,10,73,0.136986301369863
jwage,1925,113.23529411764706,899,303,17.823529411764707,121,6,17,0.35294117647058826
tomocchino,183,20.333333333333332,74,28,3.111111111111111,14,4,9,0.4444444444444444
andreasjansson,852,8.52,342,158,1.58,37,12,100,0.12
edent,17937,245.7123287671233,15353,1394,19.095890410958905,968,26,73,0.3561643835616438
Khan,5631,56.31,5338,286,2.86,185,9,100,0.09
meganz,10196,108.46808510638297,2177,2828,30.085106382978722,591,32,94,0.3404255319148936
hzy46,7183,163.25,4675,2795,63.52272727272727,1742,10,44,0.22727272727272727
agntcy,2066,43.041666666666664,316,419,8.729166666666666,57,48,48,1.0
ddollar,8404,84.04,6153,945,9.45,630,7,100,0.07
itheima1,8218,304.3703703703704,4644,2296,85.03703703703704,1234,12,27,0.4444444444444444
milaan9,7124,154.8695652173913,667,5766,125.34782608695652,339,33,46,0.717391304347826
PapaReact,189,27.0,62,69,9.857142857142858,29,1,7,0.14285714285714285
surunzi,323,9.787878787878787,148,79,2.393939393939394,32,17,33,0.5151515151515151
Galaxies-dev,2174,48.31111111111111,406,846,18.8,153,30,45,0.6666666666666666
zusmani,267,13.35,81,98,4.9,26,4,20,0.2
mtianyan,3572,35.72,934,1292,12.92,363,8,100,0.08
eisneim,698,16.232558139534884,129,250,5.813953488372093,71,13,43,0.3023255813953488
developersdigest,7092,87.55555555555556,5026,1293,15.962962962962964,780,68,81,0.8395061728395061
sequencer,153,1.5454545454545454,36,35,0.35353535353535354,8,4,99,0.04040404040404041
a2,656,6.56,291,111,1.11,64,4,100,0.04
cfregly,1597,15.97,1568,248,2.48,222,2,100,0.02
julianstorer,0,0.0,0,0,0.0,0,4,4,1.0
jakeajames,2253,29.25974025974026,363,635,8.246753246753247,131,14,77,0.18181818181818182
toddwschneider,5716,248.52173913043478,2071,1276,55.47826086956522,567,15,23,0.6521739130434783
pittcsc,2395,53.22222222222222,1772,442,9.822222222222223,309,14,45,0.3111111111111111
dievus,3848,49.333333333333336,574,765,9.807692307692308,100,21,78,0.2692307692307692
Ak74-577,0,0.0,0,0,0.0,0,0,2,0.0
hadikachmar3,639,6.39,205,387,3.87,93,7,100,0.07
StudioCherno,3030,303.0,2404,668,66.8,477,9,10,0.9
z-song,12056,430.57142857142856,11153,3152,112.57142857142857,2826,5,28,0.17857142857142858
visenger,14297,180.9746835443038,13931,2200,27.848101265822784,2074,6,79,0.0759493670886076
prideout,3515,41.845238095238095,988,320,3.8095238095238093,76,18,84,0.21428571428571427
Expensify,9891,152.16923076923078,4900,5064,77.9076923076923,3886,26,65,0.4
mohamadSaleh82,78,6.0,28,24,1.8461538461538463,18,11,13,0.8461538461538461
0xRick,389,64.83333333333333,142,105,17.5,35,4,6,0.6666666666666666
Link-,963,16.322033898305083,395,502,8.508474576271187,356,14,59,0.23728813559322035
hiroppy,5546,55.46,5372,212,2.12,190,3,100,0.03
larshp,727,7.27,323,231,2.31,79,12,100,0.12
TommyLemon,8069,80.69,5605,1700,17.0,1374,6,100,0.06
lens-protocol,4729,143.3030303030303,2842,1496,45.333333333333336,881,12,33,0.36363636363636365
bokuweb,1157,11.57,525,154,1.54,109,11,100,0.11
burrsutter,775,7.75,598,490,4.9,365,8,100,0.08
simonpj,52,4.333333333333333,17,6,0.5,4,2,12,0.16666666666666666
bespoyasov,5212,140.86486486486487,2578,562,15.18918918918919,292,14,37,0.3783783783783784
angelicaweiler,196,5.6,33,47,1.3428571428571427,12,17,35,0.4857142857142857
MrToph,1097,10.97,190,387,3.87,86,11,100,0.11
chentao0707,6578,173.10526315789474,4548,2383,62.71052631578947,1587,4,38,0.10526315789473684
zoom,2189,21.89,644,1203,12.03,343,80,100,0.8
jantic,18551,687.074074074074,18481,2671,98.92592592592592,2649,4,27,0.14814814814814814
caiogondim,8035,80.35,2840,713,7.13,374,14,100,0.14
Mach-Levi,140,2.7450980392156863,7,4,0.0784313725490196,2,4,51,0.0784313725490196
ndmitchell,4464,44.64,1593,637,6.37,207,12,100,0.12
isyuricunha-zz,29,1.380952380952381,11,1,0.047619047619047616,1,0,21,0.0
